Name,Value,Detection
line_sensor,60,1
line_sensor,40,0
distance_ball,70,1
robot_detection,300,0
line_sensor,80,1
distance_ball,120,1
line_sensor,30,0
distance_ball,240,0
distance,20,1
robot_detection,255,0
distance,40,0
robot_detection,50,1
distance,10,1
goal_detection,100,1
goal_detection,240,0
theta_ball,100,1
theta_ball,250,1
theta_ball,120,1
theta_ball,140,1
theta_ball,0,0
distance,30,0
distance,10,1
distance,5,1
distance,11,1
distance,1000,0
distance,20,1
distance,3,1
distance,17,1
distance,22,1
distance,15,1
distance,1,1
distance,13,1
distance,-29,0
theta_ball,250,1
theta_ball,100,1
theta_ball,0,0
theta_ball,125,1
theta_ball,255,1
theta_ball,70,1
theta_ball,90,1
theta_ball,100,1
theta_ball,200,1
theta_ball,225,1
